Date,Forecasted_Price
2025-01-01,71.57813242474096
2025-01-02,71.56455166381657
2025-01-03,71.55099756557442
2025-01-06,71.53747007766849
2025-01-07,71.52396914785554
2025-01-08,71.51049472399491
2025-01-09,71.49704675404828
2025-01-10,71.48362518607952
2025-01-13,71.47022996825444
2025-01-14,71.45686104884065
2025-01-15,71.4435183762073
2025-01-16,71.43020189882489
2025-01-17,71.41691156526511
2025-01-20,71.40364732420063
2025-01-21,71.39040912440487
2025-01-22,71.3771969147518
2025-01-23,71.36401064421581
2025-01-24,71.35085026187144
2025-01-27,71.3377157168932
2025-01-28,71.32460695855542
2025-01-29,71.31152393623199
2025-01-30,71.29846659939619
2025-01-31,71.28543489762052
2025-02-03,71.27242878057646
2025-02-04,71.2594481980343
2025-02-05,71.24649309986299
2025-02-06,71.23356343602983
2025-02-07,71.22065915660039
2025-02-10,71.20778021173827
2025-02-11,71.1949265517049
